ProductName,QuantityOnHand,UnitCost,InventoryDate
Adjustable Race,875,$0.27,2012-05-30
Bearing Ball,875,$0.21,2012-05-30
BB Ball Bearing,700,$0.20,2012-05-30
Headset Ball Bearings,700,$0.26,2012-05-30
Blade,700,$0.20,2012-05-30
LL Crankarm,438,$0.19,2012-05-30
ML Crankarm,438,$0.19,2012-05-30
HL Crankarm,438,$0.24,2012-05-30
Chainring Bolts,875,$0.20,2012-05-30
Chainring Nut,875,$0.17,2012-05-30
Chainring,875,$0.29,2012-05-30
Crown Race,875,$0.19,2012-05-30
Chain Stays,875,$0.66,2012-05-30
Decal 1,875,$0.18,2012-05-30
Decal 2,875,$0.24,2012-05-30
Down Tube,700,$0.21,2012-05-30
Mountain End Caps,875,$0.21,2012-05-30
Road End Caps,875,$0.20,2012-05-30
Touring End Caps,875,$0.29,2012-05-30
Fork End,700,$0.16,2012-05-30
Freewheel,438,$0.23,2012-05-30
Flat Washer 1,875,$0.19,2012-05-30
Flat Washer 6,875,$0.20,2012-05-30
Flat Washer 2,875,$0.24,2012-05-30
Flat Washer 9,875,$0.22,2012-05-30
Flat Washer 4,875,$0.20,2012-05-30
Flat Washer 3,875,$0.21,2012-05-30
Flat Washer 8,875,$0.31,2012-05-30
Flat Washer 5,875,$0.20,2012-05-30
Flat Washer 7,875,$0.23,2012-05-30
Fork Crown,700,$0.20,2012-05-30
Front Derailleur Cage,700,$0.21,2012-05-30
Front Derailleur Linkage,700,$0.20,2012-05-30
Guide Pulley,700,$0.30,2012-05-30
LL Grip Tape,700,$0.54,2012-05-30
ML Grip Tape,700,$0.20,2012-05-30
HL Grip Tape,700,$0.22,2012-05-30
Thin-Jam Hex Nut 9,875,$0.23,2012-05-30
Thin-Jam Hex Nut 10,875,$0.30,2012-05-30
Thin-Jam Hex Nut 1,875,$0.39,2012-05-30
Thin-Jam Hex Nut 2,875,$0.51,2012-05-30
Thin-Jam Hex Nut 15,875,$0.20,2012-05-30
Thin-Jam Hex Nut 16,875,$0.21,2012-05-30
Thin-Jam Hex Nut 5,875,$0.20,2012-05-30
Thin-Jam Hex Nut 6,875,$0.42,2012-05-30
Thin-Jam Hex Nut 3,875,$0.22,2012-05-30
Thin-Jam Hex Nut 4,875,$0.27,2012-05-30
Thin-Jam Hex Nut 13,875,$0.18,2012-05-30
Thin-Jam Hex Nut 14,875,$0.36,2012-05-30
Thin-Jam Hex Nut 7,875,$0.19,2012-05-30
Thin-Jam Hex Nut 8,875,$0.25,2012-05-30
Thin-Jam Hex Nut 12,875,$0.31,2012-05-30
Thin-Jam Hex Nut 11,875,$0.42,2012-05-30
Hex Nut 5,875,$0.22,2012-05-30
Hex Nut 6,875,$0.34,2012-05-30
Hex Nut 16,875,$0.29,2012-05-30
Hex Nut 17,875,$0.21,2012-05-30
Hex Nut 7,875,$0.22,2012-05-30
