ResellerName,OrderDate,OrderQuantity,SalesAmount
Better Bike Shop,2012-06-30,3,"$1,943.98"
Better Bike Shop,2012-06-30,2,"$1,295.99"
Better Bike Shop,2012-06-30,1,$647.99
Better Bike Shop,2012-06-30,6,"$3,887.96"
Better Bike Shop,2012-06-30,3,"$3,688.38"
Better Bike Shop,2012-06-30,3,"$3,688.38"
Better Bike Shop,2012-06-30,3,"$3,688.38"
Better Bike Shop,2012-06-30,6,"$7,457.11"
Better Bike Shop,2012-06-30,2,"$2,485.70"
Better Bike Shop,2012-06-30,4,"$4,971.41"
Better Bike Shop,2012-06-30,1,$33.77
Better Bike Shop,2012-06-30,1,$141.62
Better Bike Shop,2012-06-30,2,$392.66
Better Bike Shop,2012-06-30,3,$627.77
Better Bike Shop,2012-06-30,5,$144.20
Better Bike Shop,2012-06-30,6,$269.96
Better Bike Shop,2012-06-30,1,$44.99
Better Bike Shop,2012-06-30,1,$53.99
Better Bike Shop,2012-06-30,12,$259.12
Better Bike Shop,2012-06-30,9,$205.15
Better Bike Shop,2012-06-30,3,$15.56
Better Bike Shop,2012-06-30,2,$40.37
Gift and Toy Store,2012-06-30,3,"$1,409.38"
Gift and Toy Store,2012-06-30,2,$939.59
Gift and Toy Store,2012-06-30,2,$939.59
Gift and Toy Store,2012-06-30,4,"$1,879.18"
Gift and Toy Store,2012-06-30,4,"$1,879.18"
Basic Bike Company,2012-06-30,1,$35.99
Basic Bike Company,2012-06-30,1,$324.45
Basic Bike Company,2012-06-30,1,$53.99
Recreation Toy Store,2012-06-30,3,$68.38
Recreation Toy Store,2012-06-30,1,$647.99
Recreation Toy Store,2012-06-30,3,$161.98
Valuable Bike Parts Company,2012-06-30,3,"$3,728.56"
Valuable Bike Parts Company,2012-06-30,2,"$2,485.70"
Valuable Bike Parts Company,2012-06-30,4,$215.98
Valuable Bike Parts Company,2012-06-30,3,$15.56
Valuable Bike Parts Company,2012-06-30,5,$179.97
Valuable Bike Parts Company,2012-06-30,3,"$1,943.98"
Valuable Bike Parts Company,2012-06-30,2,"$1,295.99"
Valuable Bike Parts Company,2012-06-30,2,$418.51
Valuable Bike Parts Company,2012-06-30,6,$136.76
Valuable Bike Parts Company,2012-06-30,2,$392.66
Valuable Bike Parts Company,2012-06-30,1,$141.62
Valuable Bike Parts Company,2012-06-30,3,$86.52
Valuable Bike Parts Company,2012-06-30,1,$647.99
Valuable Bike Parts Company,2012-06-30,5,"$6,147.29"
Valuable Bike Parts Company,2012-06-30,2,"$2,458.92"
Valuable Bike Parts Company,2012-06-30,3,$60.56
Valuable Bike Parts Company,2012-06-30,2,$89.99
Valuable Bike Parts Company,2012-06-30,3,"$1,943.98"
Valuable Bike Parts Company,2012-06-30,2,$40.37
Valuable Bike Parts Company,2012-06-30,5,$224.97
Valuable Bike Parts Company,2012-06-30,1,$209.26
Valuable Bike Parts Company,2012-06-30,4,$91.18
First Bike Store,2012-06-30,5,"$2,348.97"
First Bike Store,2012-06-30,2,"$1,200.53"
First Bike Store,2012-06-30,5,"$2,348.97"
First Bike Store,2012-06-30,6,"$3,601.58"
First Bike Store,2012-06-30,2,"$2,617.88"
First Bike Store,2012-06-30,2,"$2,932.02"
First Bike Store,2012-06-30,6,"$3,601.58"
First Bike Store,2012-06-30,7,"$3,288.56"
First Bike Store,2012-06-30,5,"$7,330.05"
First Bike Store,2012-06-30,5,"$2,348.97"
First Bike Store,2012-06-30,3,"$1,409.38"
First Bike Store,2012-06-30,3,"$3,926.81"
First Bike Store,2012-06-30,5,"$2,348.97"
First Bike Store,2012-06-30,5,"$7,330.05"
First Bike Store,2012-06-30,6,$121.12
First Bike Store,2012-06-30,2,$40.37
First Bike Store,2012-06-30,5,"$2,348.97"
First Bike Store,2012-06-30,3,"$1,800.79"
First Bike Store,2012-06-30,7,"$3,288.56"
First Bike Store,2012-06-30,5,"$6,544.69"
First Bike Store,2012-06-30,2,$939.59
First Bike Store,2012-06-30,8,"$3,758.35"
First Bike Store,2012-06-30,5,"$2,348.97"
First Bike Store,2012-06-30,1,"$1,308.94"
First Bike Store,2012-06-30,7,"$9,162.56"
First Bike Store,2012-06-30,3,"$1,800.79"
Large Bike Shop,2012-06-30,1,$33.77
Area Bike Accessories,2012-06-30,1,$600.26
Area Bike Accessories,2012-06-30,6,$323.96
Area Bike Accessories,2012-06-30,1,$469.79
Distant Inn,2012-06-30,2,$939.59
Distant Inn,2012-06-30,3,"$1,409.38"
Distant Inn,2012-06-30,1,$469.79
Distant Inn,2012-06-30,1,$469.79
Classic Cycle Store,2012-06-30,2,$418.51
Classic Cycle Store,2012-06-30,1,$141.62
Classic Cycle Store,2012-06-30,4,"$4,971.41"
Classic Cycle Store,2012-06-30,12,$259.12
Classic Cycle Store,2012-06-30,2,"$2,458.92"
Classic Cycle Store,2012-06-30,5,$113.97
Classic Cycle Store,2012-06-30,3,$588.99
Classic Cycle Store,2012-06-30,1,$209.26
Classic Cycle Store,2012-06-30,2,"$1,295.99"
Classic Cycle Store,2012-06-30,2,"$2,485.70"
Classic Cycle Store,2012-06-30,3,"$3,688.38"
Classic Cycle Store,2012-06-30,1,$33.77
Classic Cycle Store,2012-06-30,2,"$1,295.99"
Classic Cycle Store,2012-06-30,4,"$2,591.98"
Modular Cycle Systems,2012-06-30,2,$939.59
Modular Cycle Systems,2012-06-30,3,"$1,409.38"
Modular Cycle Systems,2012-06-30,4,"$1,879.18"
Modular Cycle Systems,2012-06-30,4,"$1,879.18"
Modular Cycle Systems,2012-06-30,7,"$3,288.56"
Modular Cycle Systems,2012-06-30,8,"$3,758.35"
Modular Cycle Systems,2012-06-30,4,"$1,879.18"
Modular Cycle Systems,2012-06-30,3,"$1,409.38"
Modular Cycle Systems,2012-06-30,5,"$2,348.97"
Modular Cycle Systems,2012-06-30,8,"$3,758.35"
Modular Cycle Systems,2012-06-30,7,"$3,288.56"
Modular Cycle Systems,2012-06-30,2,$939.59
Modular Cycle Systems,2012-06-30,1,$600.26
Modular Cycle Systems,2012-06-30,3,"$1,800.79"
Modular Cycle Systems,2012-06-30,3,"$1,800.79"
Modular Cycle Systems,2012-06-30,1,$600.26
Modular Cycle Systems,2012-06-30,5,"$6,544.69"
Modular Cycle Systems,2012-06-30,7,"$9,162.56"
Modular Cycle Systems,2012-06-30,5,"$6,544.69"
Modular Cycle Systems,2012-06-30,5,"$6,544.69"
Modular Cycle Systems,2012-06-30,5,"$7,330.05"
Modular Cycle Systems,2012-06-30,5,"$7,330.05"
Modular Cycle Systems,2012-06-30,2,"$2,932.02"
Modular Cycle Systems,2012-06-30,2,"$2,617.88"
Modular Cycle Systems,2012-06-30,4,$270.16
Friendly Bike Shop,2012-06-30,3,"$1,409.38"
Friendly Bike Shop,2012-06-30,8,"$3,758.35"
Friendly Bike Shop,2012-06-30,5,"$6,544.69"
Friendly Bike Shop,2012-06-30,1,$202.33
Friendly Bike Shop,2012-06-30,7,"$4,201.84"
Friendly Bike Shop,2012-06-30,2,$367.88
Friendly Bike Shop,2012-06-30,5,"$1,622.26"
Friendly Bike Shop,2012-06-30,1,$469.79
Friendly Bike Shop,2012-06-30,5,"$3,001.31"
Friendly Bike Shop,2012-06-30,2,$135.08
Friendly Bike Shop,2012-06-30,1,$469.79
Friendly Bike Shop,2012-06-30,4,"$1,879.18"
Friendly Bike Shop,2012-06-30,3,"$1,409.38"
Friendly Bike Shop,2012-06-30,7,"$3,288.56"
Friendly Bike Shop,2012-06-30,1,$469.79
Friendly Bike Shop,2012-06-30,4,"$2,401.05"
Friendly Bike Shop,2012-06-30,3,$607.00
Friendly Bike Shop,2012-06-30,3,"$4,398.03"
Friendly Bike Shop,2012-06-30,5,$269.97
Friendly Bike Shop,2012-06-30,2,$71.99
Friendly Bike Shop,2012-06-30,3,$42.39
All Cycle Shop,2012-06-30,2,$45.59
Countryside Company,2012-06-30,3,$627.77
Leather Seat Factory,2012-06-30,7,$236.42
Leather Seat Factory,2012-06-30,11,$639.56
Leather Seat Factory,2012-06-30,5,$121.47
Leather Seat Factory,2012-06-30,3,$424.85
Leather Seat Factory,2012-06-30,4,$837.02
Leather Seat Factory,2012-06-30,2,$72.89
Leather Seat Factory,2012-06-30,4,$785.32
Leather Seat Factory,2012-06-30,4,$837.02
Leather Seat Factory,2012-06-30,2,"$1,488.55"
Leather Seat Factory,2012-06-30,4,"$4,917.84"
Leather Seat Factory,2012-06-30,4,"$4,971.41"
Leather Seat Factory,2012-06-30,1,$736.15
Leather Seat Factory,2012-06-30,3,$413.08
Leather Seat Factory,2012-06-30,2,$45.59
Leather Seat Factory,2012-06-30,2,"$2,458.92"
Go-cart and Bike Specialists,2012-06-30,6,$269.96
Go-cart and Bike Specialists,2012-06-30,2,$67.55
Go-cart and Bike Specialists,2012-06-30,2,$57.68
Go-cart and Bike Specialists,2012-06-30,3,$627.77
Go-cart and Bike Specialists,2012-06-30,8,$41.49
Go-cart and Bike Specialists,2012-06-30,5,$75.00
Go-cart and Bike Specialists,2012-06-30,2,$107.99
Go-cart and Bike Specialists,2012-06-30,7,$98.90
Go-cart and Bike Specialists,2012-06-30,3,"$2,208.44"
Go-cart and Bike Specialists,2012-06-30,2,$72.89
Go-cart and Bike Specialists,2012-06-30,6,$368.24
Go-cart and Bike Specialists,2012-06-30,6,$173.04
Go-cart and Bike Specialists,2012-06-30,1,$209.26
Go-cart and Bike Specialists,2012-06-30,1,$44.99
Go-cart and Bike Specialists,2012-06-30,2,$40.37
Go-cart and Bike Specialists,2012-06-30,4,$566.46
Go-cart and Bike Specialists,2012-06-30,2,$40.37
Go-cart and Bike Specialists,2012-06-30,2,"$2,458.92"
Go-cart and Bike Specialists,2012-06-30,1,$744.27
Go-cart and Bike Specialists,2012-06-30,3,$60.56
Go-cart and Bike Specialists,2012-06-30,3,$413.08
Go-cart and Bike Specialists,2012-06-30,4,$91.18
Go-cart and Bike Specialists,2012-06-30,3,$35.98
Great Bikes,2012-06-30,9,"$5,831.95"
Great Bikes,2012-06-30,4,$115.36
Great Bikes,2012-06-30,2,$89.99
Great Bikes,2012-06-30,8,"$9,835.67"
Great Bikes,2012-06-30,3,"$3,688.38"
Great Bikes,2012-06-30,5,$981.65
Great Bikes,2012-06-30,7,"$8,699.96"
Great Bikes,2012-06-30,8,"$9,942.81"
Great Bikes,2012-06-30,2,"$1,295.99"
Great Bikes,2012-06-30,4,$135.10
Great Bikes,2012-06-30,8,"$9,835.67"
Great Bikes,2012-06-30,6,$849.69
Great Bikes,2012-06-30,2,$418.51
Great Bikes,2012-06-30,2,$89.99
Great Bikes,2012-06-30,9,$205.15
Great Bikes,2012-06-30,6,$136.76
Great Bikes,2012-06-30,1,$647.99
Great Bikes,2012-06-30,11,"$12,951.34"
Great Bikes,2012-06-30,3,$15.56
Great Bikes,2012-06-30,9,"$5,831.95"
First Department Stores,2012-06-30,4,$91.18
First Department Stores,2012-06-30,4,"$4,917.84"
First Department Stores,2012-06-30,3,"$3,688.38"
First Department Stores,2012-06-30,1,$22.79
First Department Stores,2012-06-30,1,$22.79
This Area Sporting Goods,2012-06-30,1,"$1,229.46"
This Area Sporting Goods,2012-06-30,4,$91.18
This Area Sporting Goods,2012-06-30,8,$182.35
This Area Sporting Goods,2012-06-30,2,$45.59
Western Bike Supplies,2012-06-30,2,$939.59
Western Bike Supplies,2012-06-30,1,$469.79
Western Bike Supplies,2012-06-30,1,$469.79
Western Bike Supplies,2012-06-30,3,"$1,409.38"
Retail Mall,2012-06-30,1,$5.19
Retail Mall,2012-06-30,6,$121.12
Retail Mall,2012-06-30,1,$28.84
Retail Mall,2012-06-30,2,"$1,200.53"
Retail Mall,2012-06-30,4,$809.33
Retail Mall,2012-06-30,6,"$2,818.76"
Retail Mall,2012-06-30,1,$35.99
Retail Mall,2012-06-30,4,$47.98
Retail Mall,2012-06-30,5,"$1,011.66"
Retail Mall,2012-06-30,3,$60.56
Retail Mall,2012-06-30,9,$404.95
Retail Mall,2012-06-30,5,$70.64
Retail Mall,2012-06-30,3,$161.98
Retail Mall,2012-06-30,3,"$1,409.38"
Retail Mall,2012-06-30,6,"$3,601.58"
Retail Mall,2012-06-30,3,"$1,409.38"
Retail Mall,2012-06-30,15,"$6,136.68"
Retail Mall,2012-06-30,3,"$1,409.38"
Retail Mall,2012-06-30,2,$57.68
Retail Mall,2012-06-30,5,"$2,348.97"
Retail Mall,2012-06-30,6,"$2,818.76"
Retail Mall,2012-06-30,2,"$2,932.02"
Retail Mall,2012-06-30,2,$396.07
Retail Mall,2012-06-30,8,"$1,618.66"
